4,1,3,0,2,7,5,2,2,3,4,0,2,2,6,3,3,7,1,6,3,4,2,0,1,7,3,7,6,4,5,7,7,5,0,1,4,6,5,1,5,5,6,0,6,0,1,4
-89898.17975737808,-59456.288451705994,-43416.11783696626,-63219.98694181287,-94932.08318139115,-65760.06153345841,-99493.53778285239,-121910.83990464687
-89902.85127196924,-59460.5352831525,-43420.36466841277,-63224.03260755928,-94936.37471632657,-65764.1742544382,-99497.7846142989,-121914.43853550417
-89901.19724287954,-59459.06006801845,-43418.86710153426,-63222.53504068078,-94934.89950119251,-65762.6766875597,-99496.24234393149,-121913.20918955913
-89896.54808003284,-59454.880291805304,-43414.68732532112,-63218.422319701,-94930.54091102374,-65758.4745596021,-99492.04021597389,-121909.56585521292
-89897.17392887759,-59455.4837889056,-43415.42493288815,-63219.11522377911,-94931.12205637957,-65759.14511193575,-99492.64371307418,-121910.21405580212
-89903.87945221418,-59461.71992560863,-43421.77282831345,-63224.99373257086,-94937.3581930826,-65765.18008293869,-99498.79044279939,-121915.66788144922
-89904.23708012547,-59462.09990526437,-43422.21986320256,-63225.48547094888,-94937.69346924943,-65765.51535910551,-99499.21512594404,-121916.2266750606
-89899.99024867897,-59458.25540521806,-43418.42006664516,-63221.90919183603,-94933.87132094757,-65761.84967301485,-99495.39297764219,-121913.03037560348
-89898.13505388917,-59456.44491391718,-43416.564871855364,-63220.16575576851,-94931.94907092441,-65760.0168299695,-99493.62718983021,-121911.42105000271
-89902.11366440222,-59459.97648954111,-43420.05174399039,-63223.25029650334,-94935.50299829281,-65763.3248881489,-99497.04700673188,-121914.25972154853
-89902.96303069152,-59460.80350408596,-43420.92346202415,-63224.07731104819,-94936.37471632657,-65764.06249571592,-99497.91872476564,-121915.08673609338
-89897.46450155551,-59455.796713327974,-43415.98372649953,-63219.40579645703,-94931.2561668463,-65759.1227601913,-99492.84487877428,-121910.75049766905
-89894.67053349859,-59453.02509701552,-43413.368572398256,-63216.74593886685,-94928.46219878939,-65756.50760609003,-99490.20737292855,-121908.33650926787
-89898.80560622283,-59456.713134850645,-43417.12366546675,-63220.09870053515,-94932.08318139115,-65759.99447822505,-99493.91776250814,-121911.30929128043
-89904.14767314764,-59461.85403607536,-43422.42102890266,-63225.15019478204,-94937.3134895937,-65765.00126898305,-99499.05866373285,-121916.2266750606
