5.5263 	INFO 	Loaded monitor calibration from ['2025_01_16 16:08']
5.8805 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CC6E2133D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CC6E213430>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CC6E29CA30>, multiSample=False, name='window1', numSamples=2, pos=[880.0, 400.0], screen=0, size=array([800, 800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8806 	EXP 	window1: backgroundImage = ''
5.8806 	EXP 	window1: backgroundFit = 'none'
5.9290 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.9290 	EXP 	window1: recordFrameIntervals = False
6.0981 	EXP 	window1: recordFrameIntervals = True
6.2825 	EXP 	Screen (0) actual frame rate measured at 59.71Hz
6.2826 	EXP 	window1: recordFrameIntervals = False
6.2898 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
9.4046 	INFO 	keyboard.Keyboard is using iohub backend.
9.4047 	EXP 	seizuremachine: status = STARTED
9.4101 	EXP 	Created cursor = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([ 1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([ 1., -1., -1.]), lineWidth=1.0, name='cursor', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.0125, 0.0125]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4117 	EXP 	Created triangle0 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'top'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='triangle0', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.70180705, 2.        ]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4149 	EXP 	Created cursor = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, draggable=False, fillColor=array([-1.,  1., -1.]), fillColorSpace='rgb', fillRGB=array([-1.,  1., -1.]), interpolate=True, lineColor=array([-1.,  1., -1.]), lineColorSpace='rgb', lineRGB=array([-1.,  1., -1.]), lineWidth=1.0, name='cursor', opacity=0.25, ori=0.0, pos=array([0.33333333, 0.        ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4165 	EXP 	Created triangle1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'top'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='triangle1', opacity=1, ori=45.0, pos=array([0., 0.]), size=array([1.70180705, 2.        ]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4195 	EXP 	Created cursor = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, draggable=False, fillColor=array([-1.,  1., -1.]), fillColorSpace='rgb', fillRGB=array([-1.,  1., -1.]), interpolate=True, lineColor=array([-1.,  1., -1.]), lineColorSpace='rgb', lineRGB=array([-1.,  1., -1.]), lineWidth=1.0, name='cursor', opacity=0.25, ori=0.0, pos=array([0.23570226, 0.23570226]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4211 	EXP 	Created triangle2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'top'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='triangle2', opacity=1, ori=90.0, pos=array([0., 0.]), size=array([1.70180705, 2.        ]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4258 	EXP 	Created cursor = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, draggable=False, fillColor=array([-1.,  1., -1.]), fillColorSpace='rgb', fillRGB=array([-1.,  1., -1.]), interpolate=True, lineColor=array([-1.,  1., -1.]), lineColorSpace='rgb', lineRGB=array([-1.,  1., -1.]), lineWidth=1.0, name='cursor', opacity=0.25, ori=0.0, pos=array([2.04107800e-17, 3.33333333e-01]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
